MentorID,Name,FinalScore,Rank
M247,Kriti Rao,0.321186,195
M175,Vikram Menon,0.320941,196
M254,Rahul Chopra,0.320491,197
M379,Kabir Kulkarni,0.320417,198
M159,Neha Verma,0.320073,199
M363,Arjun Mehta,0.320068,200
M026,Diya Chopra,0.32006,201
M220,Karan Bose,0.319578,202
M269,Dev Mehta,0.31915,203
M399,Aditya Verma,0.319085,204
M233,Rohan Gupta,0.318901,205
M031,Aditi Chopra,0.318604,206
M116,Arjun Chopra,0.318517,207
M039,Neha Verma,0.318327,208
M092,Tanya Iyer,0.31826,209
M034,Pooja Kulkarni,0.318073,210
M243,Harsh Das,0.317988,211
M048,Varun Jain,0.317705,212
M358,Arjun Mehta,0.317353,213
M018,Dev Menon,0.317296,214
M054,Arjun Singh,0.317137,215
M248,Nikhil Chopra,0.317041,216
M274,Karan Kulkarni,0.316843,217
M321,Pooja Yadav,0.316595,218
M016,Sneha Das,0.316354,219
M160,Ankit Singh,0.316258,220
M077,Meera Iyer,0.31589,221
M328,Priya Yadav,0.315825,222
M013,Riya Kulkarni,0.315531,223
M107,Aditi Bose,0.315302,224
M075,Neha Jain,0.315238,225
M211,Harsh Khanna,0.315009,226
M364,Tanya Menon,0.314868,227
M060,Ankit Patel,0.314806,228
M293,Sneha Chopra,0.314616,229
M276,Arjun Gupta,0.314168,230
M057,Karan Yadav,0.314071,231
M393,Nikhil Kapoor,0.313793,232
M095,Pooja Verma,0.313047,233
M382,Neha Jain,0.312831,234
M053,Dev Mehta,0.312748,235
M371,Tanvi Nair,0.312162,236
M289,Varun Kulkarni,0.312156,237
M319,Arjun Das,0.311799,238
M113,Yash Verma,0.311777,239
M238,Sneha Gupta,0.31136,240
M149,Riya Patel,0.311329,241
M280,Isha Sharma,0.310565,242
M314,Kabir Gupta,0.310372,243
M252,Diya Patel,0.310343,244
M137,Neha Kulkarni,0.310178,245
M152,Sneha Gupta,0.309696,246
M189,Isha Kapoor,0.309166,247
M038,Meera Iyer,0.308681,248
M014,Rohan Yadav,0.308531,249
M115,Tanya Iyer,0.308186,250
M234,Yash Das,0.308091,251
M315,Priya Bose,0.307512,252
M063,Ankit Khanna,0.307174,253
M025,Neha Shah,0.306775,254
M202,Rohan Kulkarni,0.306722,255
M106,Meera Yadav,0.3067,256
M021,Karan Khanna,0.306633,257
M255,Priya Verma,0.306614,258
M290,Neha Menon,0.306527,259
M218,Dev Kapoor,0.306285,260
M091,Pooja Kapoor,0.306238,261
M385,Aman Shah,0.305695,262
M119,Isha Bose,0.304931,263
M158,Arjun Pillai,0.304376,264
M357,Tanya Das,0.303537,265
M135,Rahul Kapoor,0.303514,266
M383,Rohan Das,0.303414,267
M017,Diya Rao,0.303228,268
M299,Riya Gupta,0.303034,269
M375,Ananya Bose,0.302537,270
M386,Vikram Mehta,0.301411,271
M249,Kriti Verma,0.30111,272
M022,Aarav Pillai,0.30089,273
M146,Sneha Menon,0.300885,274
M322,Kabir Kapoor,0.300785,275
M212,Varun Kulkarni,0.300734,276
M352,Riya Das,0.30028,277
M130,Kriti Rao,0.300227,278
M178,Aarav Verma,0.299758,279
M102,Priya Das,0.299665,280
M335,Aman Sharma,0.299662,281
M326,Isha Shah,0.299656,282
M281,Harsh Sharma,0.299228,283
M121,Arjun Iyer,0.299078,284
M087,Kunal Kulkarni,0.298666,285
M318,Ankit Gupta,0.298328,286
M390,Aditi Yadav,0.298119,287
M150,Nikhil Verma,0.298112,288
M378,Tanya Iyer,0.297942,289
M387,Kabir Pillai,0.297872,290
M120,Meera Pillai,0.297841,291
M301,Rohan Kulkarni,0.297829,292
M230,Dev Verma,0.297607,293
M336,Tanvi Kulkarni,0.296908,294
M209,Aman Jain,0.296673,295
M008,Kunal Sharma,0.296664,296
M040,Aditya Chopra,0.296356,297
M300,Varun Kulkarni,0.296337,298
M098,Vikram Mehta,0.296304,299
M330,Ankit Rao,0.295636,300
M338,Meera Menon,0.295563,301
M144,Kabir Rao,0.295294,302
M090,Isha Rao,0.295275,303
M188,Yash Menon,0.295202,304
M287,Diya Mehta,0.295195,305
M155,Harsh Sharma,0.294957,306
M331,Tanya Pillai,0.294575,307
M045,Rohan Nair,0.293892,308
M187,Aman Menon,0.293781,309
M010,Rahul Patel,0.293376,310
M204,Neha Pillai,0.293151,311
M118,Isha Shah,0.2925,312
M227,Vikram Mehta,0.292328,313
M376,Riya Kulkarni,0.292079,314
M068,Aman Das,0.291372,315
M361,Riya Khanna,0.291114,316
M072,Meera Singh,0.290636,317
M061,Arjun Khanna,0.290515,318
M197,Sneha Shah,0.290026,319
M050,Diya Patel,0.289907,320
M271,Pooja Khanna,0.289894,321
M183,Tanya Shah,0.289351,322
M208,Varun Sharma,0.289211,323
M246,Kabir Sharma,0.28908,324
M074,Kabir Das,0.288169,325
M334,Meera Yadav,0.288024,326
M043,Kunal Das,0.28787,327
M173,Kunal Sharma,0.287722,328
M056,Neha Nair,0.287698,329
M207,Harsh Iyer,0.287613,330
M305,Dev Nair,0.287609,331
M337,Aarav Kulkarni,0.287458,332
M206,Rohan Jain,0.287454,333
M157,Vikram Jain,0.287376,334
M133,Rahul Singh,0.286637,335
M313,Sneha Kapoor,0.286518,336
M005,Karan Chopra,0.286462,337
M122,Harsh Mehta,0.2855,338
M297,Tanya Sharma,0.28521,339
M126,Kunal Das,0.285022,340
M011,Priya Shah,0.284911,341
M392,Meera Iyer,0.28409,342
M239,Diya Menon,0.284076,343
M006,Rahul Das,0.284057,344
M154,Ananya Patel,0.283515,345
M224,Ananya Pillai,0.283473,346
M055,Priya Jain,0.283192,347
M323,Aman Chopra,0.283172,348
M156,Pooja Kulkarni,0.282605,349
M181,Kabir Kapoor,0.282308,350
M088,Neha Rao,0.282243,351
M148,Meera Jain,0.28208,352
M332,Kriti Menon,0.282007,353
M275,Kabir Shah,0.28138,354
M205,Tanvi Iyer,0.280301,355
M317,Rohan Verma,0.279711,356
M193,Diya Patel,0.279504,357
M076,Priya Das,0.278417,358
M125,Diya Iyer,0.278314,359
M143,Aman Bose,0.27558,360
M049,Vikram Gupta,0.275363,361
M342,Ananya Yadav,0.274634,362
M199,Kabir Gupta,0.274166,363
M244,Rohan Verma,0.274147,364
M266,Kunal Mehta,0.274043,365
M241,Tanvi Iyer,0.273495,366
M245,Harsh Verma,0.273364,367
M166,Diya Shah,0.273327,368
M164,Neha Patel,0.272677,369
M071,Nikhil Gupta,0.272432,370
M172,Pooja Nair,0.271416,371
M333,Arjun Menon,0.271269,372
M380,Dev Kulkarni,0.271084,373
M198,Aarav Jain,0.269793,374
M229,Vikram Yadav,0.268808,375
M078,Aditya Das,0.267162,376
M273,Aarav Shah,0.266144,377
M251,Kriti Kulkarni,0.264188,378
M136,Sanya Iyer,0.263304,379
M073,Yash Shah,0.262145,380
M195,Isha Gupta,0.260863,381
M240,Tanya Kapoor,0.256113,382
M147,Priya Khanna,0.253975,383
M377,Aditya Sharma,0.248268,384
M250,Riya Patel,0.24718,385
M196,Karan Menon,0.246049,386
M235,Rohan Das,0.243515,387
M225,Tanya Patel,0.239318,388
M397,Riya Menon,0.23186,389
M179,Isha Sharma,0.222131,390
M142,Aditya Kapoor,0.207843,391
M264,Meera Das,0,392
M272,Priya Sharma,0,392
M064,Karan Jain,0,392
M236,Riya Bose,0,392
M170,Vikram Verma,0,392
M134,Karan Verma,0,392
M396,Neha Patel,0,392
M194,Nikhil Verma,0,392
M131,Arjun Verma,0,392
